Log file created at: 2019/04/27 10:23:36
Running on machine: in_dev_docker
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0427 10:23:36.981840  1762 class_loader_utility.h:78]  registerclass:PlanningComponent,apollo::cyber::ComponentBase,/apollo/bazel-bin/modules/planning/libplanning_component.so
I0427 10:23:42.948647  1771 planning_component.cc:61]  Received routing data: run routing callback.timestamp_sec: 1556331822.9475482
module_name: "routing"
sequence_num: 0
E0427 10:23:42.996646  1765 reference_line_provider.cc:193]  Routing is not ready.
W0427 10:23:43.037657  1769 reference_line_provider.cc:243]  Reference line is NOT ready.
E0427 10:23:43.037909  1769 on_lane_planning.cc:257]  PLANNING_ERROR: Failed to create reference line
I0427 10:23:43.039387  1769 planning_component.cc:154]  Planning response time: 4.32773
E0427 10:23:43.135440  1775 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:43.160953  1775 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	2
E0427 10:23:43.165155  1775 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:43.165920  1775 planning_component.cc:154]  Planning response time: 31.2981
E0427 10:23:43.236949  1775 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:43.292305  1775 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	2
E0427 10:23:43.295275  1775 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:43.296217  1775 planning_component.cc:154]  Planning response time: 61.4167
E0427 10:23:43.335592  1775 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:43.363611  1775 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	2
E0427 10:23:43.366312  1775 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:43.367163  1775 planning_component.cc:154]  Planning response time: 32.4632
E0427 10:23:43.437168  1765 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:43.495553  1765 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	2
E0427 10:23:43.498364  1765 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:43.499421  1765 planning_component.cc:154]  Planning response time: 64.4704
E0427 10:23:43.535594  1765 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:43.565095  1765 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	2
E0427 10:23:43.568104  1765 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:43.569463  1765 planning_component.cc:154]  Planning response time: 34.7636
E0427 10:23:43.636735  1768 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:43.688071  1768 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	2
E0427 10:23:43.691146  1768 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:43.692284  1768 planning_component.cc:154]  Planning response time: 57.3989
E0427 10:23:43.738512  1775 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:43.797384  1775 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	2
E0427 10:23:43.800279  1775 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:43.801340  1775 planning_component.cc:154]  Planning response time: 66.2061
E0427 10:23:43.835472  1770 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:43.860852  1770 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	2
E0427 10:23:43.863624  1770 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:43.864713  1770 planning_component.cc:154]  Planning response time: 30.0368
E0427 10:23:43.935607  1765 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:43.961381  1765 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	2
E0427 10:23:43.964208  1765 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:43.965220  1765 planning_component.cc:154]  Planning response time: 30.4651
E0427 10:23:44.036497  1773 valet_parking_scenario.cc:111]  No parking space id from routing
